strategy,alpha,algorithm,final_accuracy_mean,final_accuracy_std,final_loss_mean,final_loss_std,total_energy_mean,total_energy_std,total_upload_time_mean,total_upload_time_std,mean_jain_mean,mean_jain_std
async,0.5,fedprox,0.7626,,0.7798871473421024,,9207.112540275939,,2407.112540275938,,0.7214466583863121,
bandwidth_first,0.5,fedprox,0.7856000000000001,0.053881536726414915,0.6768275366365155,0.19558422455034813,8294.450051309395,2976.199273062731,2476.9960513093947,2745.102634835343,0.6929849886449767,0.12141133213272119
bridge_free,0.5,fedprox,0.7927,,0.6365019863919367,,9207.112540275939,,2407.112540275938,,0.7214466583863121,
energy_first,0.5,fedprox,0.75705,0.01916259377015537,0.7512112689923636,0.09493438062324827,6332.3350539921785,2438.9317489485165,2607.687053992179,2595.762376161443,0.5815155380971062,0.003159862551598307
hybrid_opt,0.5,fedprox,0.7743,0.059949367525159655,0.7226036526734316,0.255508574914411,9466.658815284343,469.00451001225446,2568.2918152843426,428.19811951983604,0.7384729194423575,0.024923556752453536
sync,0.5,fedprox,0.7804,,0.6745126319082477,,9207.112540275939,,2407.112540275938,,0.7214466583863121,
