round,mode,accuracy,loss,avg_per,jain,energy,est_upload_time,bw_factor,topk,exhausted_clients
1,semi_sync,0.2679,2.4467675987678237,0.059379999999999974,0.49999999999999,73.9439164616386,12.83591646163859,1.0,5,
2,semi_sync,0.3819,1.7628797096542166,0.04314399999999995,0.5555555555555525,195.52794392782255,112.53594392782256,0.8,5,
3,semi_sync,0.3911,1.7749087418181986,0.07960799999999997,0.5487804878048766,65.6594044453552,4.55140444535519,0.8621824303083071,5,
4,semi_sync,0.4203,1.718637072587315,0.07137999999999994,0.5882352941176462,68.6568832710422,15.892883271042212,0.8857345713686404,5,
5,semi_sync,0.4645,1.5116126160078411,0.04800799999999996,0.6060606060606051,56.52302407337123,3.7590240733712257,0.8967441328348154,5,
6,semi_sync,0.5074,1.3477602125723152,0.15600599999999992,0.6451612903225796,666.6209899442979,587.656989944298,0.9011989672790158,5,
7,semi_sync,0.5327,1.3112282888798774,0.05444999999999994,0.5882352941176462,56.263477933965575,3.499477933965574,0.9356860708957189,5,
8,semi_sync,0.5403,1.2542404917222034,0.04362199999999996,0.5882352941176462,73.17827571299007,20.414275712990076,0.9363908136695831,5,
9,semi_sync,0.5102,1.3381836218169973,0.13820799999999997,0.6896551724137919,271.71482198434734,169.54682198434736,0.9360516860010765,5,
10,semi_sync,0.5239,1.485559664195097,0.06721399999999994,0.7407407407407394,378.7816208413959,300.18562084139586,0.9199111952906837,5,
11,semi_sync,0.5518,1.241272051123124,0.07130799999999997,0.7407407407407394,56.35653418497803,3.5925341849780303,0.8970464571723141,5,
12,semi_sync,0.5567,1.2828772550896754,0.07229199999999998,0.7999999999999984,695.3128937979193,579.6248937979192,0.8970341735442429,5,
13,semi_sync,0.6367,1.0361500314519376,0.05201799999999997,0.7692307692307677,462.05245122857383,374.74445122857384,0.8991701517895225,5,
14,semi_sync,0.639,1.0269547436810746,0.03936999999999994,0.7407407407407394,84.13326902716543,21.14126902716542,0.8854829592362126,5,
