round,mode,accuracy,loss,avg_per,jain,energy,est_upload_time,bw_factor,topk,exhausted_clients
1,semi_sync,0.2262,2.185885119438171,0.05375141772151134,0.49999999999999,96.77317931140009,2.9531793114000884,1.0,5,
2,semi_sync,0.2671,1.9575606286525726,0.023954657212919606,0.4999999999999975,98.04591727880052,4.225917278800507,0.8,5,
3,semi_sync,0.2629,2.034311455488205,0.030762921792473547,0.5487804878048766,88.54120937076796,3.8132093707679626,0.8012981039932354,5,
4,semi_sync,0.3488,1.763236755132675,0.1115852141491512,0.7999999999999984,118.28358752297771,3.0115875229777145,0.807328162269648,5,
5,semi_sync,0.4065,1.825465440750122,0.13703994821598015,0.9523809523809501,117.13735444404728,2.61335444404727,0.8302199392599912,5,
6,semi_sync,0.3246,1.9075544714927672,0.03937765555971705,0.9523809523809501,88.99805497520028,4.270054975200278,0.8216117394416135,5,
7,semi_sync,0.3771,1.6494185209274292,0.05382737272304168,0.9523809523809501,90.3275336959762,5.599533695976198,0.8254363876844826,5,
8,semi_sync,0.3516,1.7545817732810973,0.027468248147342157,0.7999999999999984,89.83095341967427,4.354953419674276,0.8246812853230239,5,
9,semi_sync,0.512,1.401951402425766,0.11758419229640407,0.8333333333333316,118.27151195011021,2.999511950110212,0.8351107132441606,5,
10,semi_sync,0.4694,1.6067588806152344,0.11500227543854986,0.9523809523809501,102.7012347166202,2.801234716620202,0.8362124371064152,5,
11,semi_sync,0.4086,1.7202568292617797,0.034968966380065886,0.909090909090907,97.76686129752679,3.946861297526798,0.8304193346443446,5,
12,semi_sync,0.4159,1.6592497766017913,0.047458543843979496,0.909090909090907,81.9979476317769,4.3819476317769,0.827274313717966,5,
13,semi_sync,0.4315,1.6606315493583679,0.044195671105202075,0.8695652173913024,91.32165792254594,6.593657922545933,0.8305857644886308,5,
14,semi_sync,0.5141,1.4353326737880707,0.09118280985818175,0.7999999999999984,119.17800556087532,4.054005560875328,0.8180218073327703,5,
15,semi_sync,0.4834,1.656062626838684,0.08030633378742082,0.909090909090907,119.4724332754418,3.6004332754418105,0.8362682482493045,5,
16,semi_sync,0.5842,1.1392779886722564,0.0645851012485032,0.909090909090907,99.7730517114079,6.553051711407915,0.827587823778206,5,
17,semi_sync,0.5152,1.2902144730091094,0.04167996062918176,0.909090909090907,65.56751821963475,3.3235182196347397,0.8201488256795187,5,
18,semi_sync,0.5065,1.34163556098938,0.01987306753944095,0.8695652173913024,119.03899636373924,4.098996363739243,0.8309271027250426,5,
19,semi_sync,0.5444,1.2952054560184478,0.08957873378653722,0.8333333333333316,119.07050019464677,3.9465001946467586,0.8309852789893593,5,
20,semi_sync,0.5733,1.1779515981674193,0.10860135155441505,0.909090909090907,111.53682731838192,3.9928273183819263,0.8305835341961689,5,
21,semi_sync,0.4534,1.6837332725524903,0.07456844510252228,0.909090909090907,96.88177016645625,4.425770166456234,0.8256436978858556,5,
22,semi_sync,0.6045,1.108524924516678,0.04704641374016189,0.909090909090907,85.81508408383702,7.967084083837021,0.8124942394156083,5,
23,semi_sync,0.5472,1.2466996014118195,0.027622230408407444,0.8695652173913024,96.79691549065436,4.088915490654351,0.8264456010986408,5,
24,semi_sync,0.6138,1.1001494795084,0.09563975825128512,0.8333333333333316,103.60314014917465,4.039140149174649,0.8247078536925152,5,
25,semi_sync,0.5546,1.2132782757282257,0.0940450390708862,0.8333333333333316,112.22918205964329,4.337182059643297,0.8151132729478499,5,
26,semi_sync,0.4618,1.5943450391292573,0.047673906672599055,0.8695652173913024,112.34859030697146,4.288590306971463,0.8224863112824081,5,
27,semi_sync,0.6152,1.1254426538944244,0.07729042485199968,0.8333333333333316,121.1778929399753,6.117892939975293,0.8108664172619917,5,
28,semi_sync,0.5531,1.297698038816452,0.023362888666930186,0.7999999999999984,89.45555542283928,3.2595554228392896,0.8145871352630502,5,
29,semi_sync,0.5566,1.363340252637863,0.06655730255633405,0.8333333333333316,87.8542804059111,3.1462804059110967,0.8204246623825154,5,
30,semi_sync,0.43,1.866729211807251,0.10462674717812884,0.8333333333333316,109.7735489198062,3.713548919806195,0.830482149380497,5,
31,semi_sync,0.5194,1.563318532705307,0.11665849390499325,0.909090909090907,135.25215569241567,4.588155692415671,0.8315446539862013,5,
32,semi_sync,0.6166,1.1118773341178894,0.03960251255609542,0.9523809523809501,75.51964552693086,4.183645526930855,0.84387105023249,5,
33,semi_sync,0.6255,1.0614821791648865,0.04204322320801002,0.909090909090907,111.09911257369112,3.019112573691112,0.8490228756598055,5,
34,semi_sync,0.6093,1.1613000571727752,0.0773476358317726,0.8695652173913024,82.13999521305738,4.459995213057372,0.840429729011318,5,
35,semi_sync,0.5768,1.3324753105640412,0.07001828709400396,0.8333333333333316,88.77265156294402,3.112651562944029,0.8506452976894217,5,
36,semi_sync,0.5628,1.3111999213695527,0.03855940656839579,0.7999999999999984,89.33374244031555,3.505742440315555,0.8390934920207055,5,
37,semi_sync,0.6292,1.0741954118013382,0.05849176947560113,0.8333333333333316,108.14596684446116,8.429966844461154,0.8328764770539019,5,
38,semi_sync,0.5953,1.1872203707695008,0.0429433874303283,0.8333333333333316,83.28269624547286,5.066696245472873,0.8296781808837073,5,
39,semi_sync,0.6772,0.9074345409870148,0.08547946413404642,0.8333333333333316,84.80299591473191,7.122995914731903,0.8291498666683196,5,
40,semi_sync,0.679,1.01254081428051,0.0934076840625114,0.8695652173913024,133.52182208984942,3.0258220898494113,0.8309851896877722,5,
41,semi_sync,0.6813,0.9091593146324157,0.6722233196082971,0.8333333333333316,109.76208834801298,9.310088348012995,0.8465593583576233,5,
42,semi_sync,0.6813,0.9091593146324157,0.6927222676039988,0.9523809523809501,128.1625896814836,28.44658968148363,0.8459541683301594,5,
43,semi_sync,0.4831,2.282083797454834,0.6312744489221759,0.909090909090907,90.9985524501416,6.270552450141608,0.8291479666420899,5,
44,semi_sync,0.4073,2.282177484035492,0.7484957323502412,0.8695652173913024,85.19210192653546,6.764101926535469,0.8268279127218998,5,
45,bridge,0.5825,1.4805132806301118,0.8212849248527372,0.8695652173913024,135.5218932554436,6.857893255443587,0.7545972736303865,5,
46,bridge,0.6312,1.1758451104164123,0.7017330051653172,0.8695652173913024,122.28289107809928,15.33489107809929,0.7539396055971415,5,
47,bridge,0.6932,0.8820411503314972,0.6499933579014237,0.9523809523809501,81.06658544002177,9.730585440021766,0.7558919575809909,5,
48,bridge,0.6848,0.8657606720924378,0.6038034333393589,0.909090909090907,120.34570335431576,3.921703354315751,0.8435442932822714,5,
49,bridge,0.7416,0.7508221983909606,0.6665816693443279,0.8695652173913024,83.39529570706983,5.715295707069843,0.7475171221833226,5,
50,bridge,0.6634,0.944015520811081,0.7305682296373277,0.909090909090907,138.5110966333517,9.8470966333517,0.7501910509346903,5,
51,async,0.6542,1.0443959891796113,0.6136562683275895,0.909090909090907,74.13958361144893,4.635583611448922,0.8471896146143033,5,
52,async,0.6542,1.0443959891796113,0.7038721146942437,0.8695652173913024,85.62475417105897,7.028754171058967,0.8496901369540076,5,
53,async,0.7301,0.7685127973556518,0.6401894596080583,0.8695652173913024,100.19301709093799,5.653017090937994,0.86222377145232,5,
54,async,0.7402,0.7459745317697525,0.669335582330992,0.7999999999999984,121.16520404103804,6.761204041038026,0.8561600979300703,5,
55,async,0.6915,0.898943305015564,0.7660734714727833,0.8695652173913024,101.35933945121155,10.139339451211555,0.8427260689523539,5,
56,async,0.5601,1.4893152117729187,0.676872943153403,0.8695652173913024,87.51433182424503,18.010331824245018,0.831493571943335,5,
57,async,0.6918,0.8883655369281769,0.6807270337462394,0.8333333333333316,130.46528407713657,14.425284077136572,0.8307138193451608,5,
58,async,0.65,1.0536034166812898,0.6618623169952652,0.8695652173913024,122.35297360484137,21.532973604841374,0.8311795499815926,5,
59,async,0.65,1.0536034166812898,0.7511776178796037,0.909090909090907,97.44353543041132,13.48353543041133,0.8307243447627464,5,
60,async,0.7314,0.7837694674730301,0.7431761044472651,0.909090909090907,98.20524376645493,12.545243766454918,0.8322250520384402,5,
