round,mode,accuracy,loss,avg_per,jain,energy,est_upload_time,bw_factor,topk,exhausted_clients
1,semi_sync,0.1948,2.2490509152412415,0.07878139069672774,0.49999999999999,143.41878737439905,5.874787374399044,1.0,5,
2,semi_sync,0.2064,2.689872980117798,0.11834958166760652,0.99999999999999,65.98468284554096,3.5286828455409758,0.8,5,
3,semi_sync,0.2603,2.014976590871811,0.05558793932987331,0.8999999999999965,128.35120479120633,6.1792047912063275,0.8539916045494891,5,
4,semi_sync,0.2712,2.003320348262787,0.050820470169022434,0.8695652173913024,122.55191778577222,6.127917785772229,0.8429984052556855,5,
5,semi_sync,0.3118,1.8660008311271667,0.04098699670628882,0.8695652173913024,82.55318091413577,4.337180914135764,0.8395236073237482,5,
6,semi_sync,0.3659,1.7750068366527558,0.14634647641442247,0.8695652173913024,124.40293858481155,2.6189385848115503,0.8443953109024412,5,
7,semi_sync,0.4157,1.7350753903388978,0.13755642240116794,0.9523809523809501,65.40942960580304,2.9534296058030467,0.8216381206468835,5,
8,semi_sync,0.3194,1.9479660928249358,0.07044251503997016,0.9523809523809501,132.3031164634367,10.131116463436697,0.841274864009226,5,
9,semi_sync,0.3857,1.606260061264038,0.03737894818218129,0.909090909090907,120.71069740036094,4.286697400360945,0.8470675988649061,5,
10,semi_sync,0.3924,1.7233242213726043,0.009846277810357441,0.8333333333333316,97.83770552114515,4.017705521145148,0.8326471084387526,5,
11,semi_sync,0.4486,1.5813993752002715,0.1363811136171234,0.7999999999999984,125.01919806211129,3.235198062111299,0.8426866425683239,5,
12,semi_sync,0.3687,2.0162177681922913,0.12688929164654222,0.9523809523809501,87.11623610621305,3.540236106213052,0.8201589160681012,5,
13,semi_sync,0.4186,1.6611673533916473,0.05907129459889797,0.9523809523809501,93.30919206903536,7.861192069035367,0.827752919645245,5,
14,semi_sync,0.4574,1.4550780415534974,0.058778067379864976,0.9523809523809501,123.9770506596225,7.553050659622512,0.8387118386577123,5,
15,semi_sync,0.5058,1.3407059371471406,0.027842750024021794,0.8695652173913024,97.52697566949433,3.706975669494337,0.8282577061949961,5,
16,semi_sync,0.5414,1.2566304743289947,0.14375274676116617,0.8333333333333316,125.57540498138775,3.7914049813877493,0.837901671169829,5,
17,semi_sync,0.4478,1.785805344581604,0.10264164625089708,0.9523809523809501,86.90604515975417,3.3300451597541807,0.8246517208346601,5,
18,semi_sync,0.4847,1.3516007602214812,0.040601345736358575,0.9523809523809501,90.65843721068222,5.210437210682218,0.8272012435338822,5,
19,semi_sync,0.5105,1.3196278750896453,0.0518131894251227,0.9523809523809501,122.32807074744797,5.904070747447962,0.8404676205978776,5,
20,semi_sync,0.4893,1.4974426984786988,0.02215503398986976,0.8695652173913024,98.78479251248343,4.9647925124834416,0.8305926394733375,5,
21,semi_sync,0.6124,1.260235494375229,0.1700216474765181,0.8333333333333316,124.81718187957892,3.0331818795789287,0.837045845980251,5,
22,semi_sync,0.4153,1.9293547689914703,0.14113912710349244,0.9523809523809501,88.02939031911455,4.453390319114537,0.8251088208467148,5,
23,semi_sync,0.5282,1.2650015592575072,0.03738891087816213,0.9523809523809501,90.5223818622008,5.074381862200797,0.8261619798958048,5,
24,semi_sync,0.5374,1.2509975492954255,0.04809056100019441,0.9523809523809501,121.23173453798654,4.807734537986539,0.8389028896032249,5,
25,semi_sync,0.5626,1.2006371915340424,0.036360886678655335,0.8695652173913024,99.54507890786667,5.725078907866652,0.8299109616941492,5,
26,semi_sync,0.6346,1.1119705259799957,0.1393575692078148,0.8333333333333316,124.70644939156419,2.922449391564198,0.8353036079418448,5,
27,semi_sync,0.5833,1.5398828506469726,0.15653861465778496,0.9523809523809501,86.34600590149637,2.770005901496377,0.8251872109153675,5,
28,semi_sync,0.5976,1.1395886361598968,0.032112296326611264,0.9523809523809501,88.88369491492071,3.4356949149207168,0.8268616936630846,5,
29,semi_sync,0.5603,1.2050749778747558,0.07074737539766784,0.9523809523809501,126.79865996537896,10.374659965378955,0.8398313675576146,5,
30,semi_sync,0.556,1.294121128320694,0.051080754163265504,0.8695652173913024,100.38517853417765,6.5651785341776545,0.8317273974780666,5,
31,semi_sync,0.6406,1.1718337893486024,0.15383903991370845,0.8333333333333316,125.20585588177079,3.4218558817707887,0.8413179053209835,5,
32,semi_sync,0.498,1.6595745801925659,0.11168946501954388,0.9523809523809501,87.75242034936794,4.176420349367934,0.8259944586887854,5,
33,semi_sync,0.6563,0.956107446551323,0.060438758614808054,0.9523809523809501,120.02875981469454,4.368759814694541,0.8264405495882718,5,
34,semi_sync,0.6184,1.0722016274929047,0.05312937777460543,0.9523809523809501,121.90326004139928,5.479260041399279,0.8269361239025294,5,
35,semi_sync,0.6591,0.9485918581485748,0.04651255839744932,0.8695652173913024,98.38520851903482,4.565208519034824,0.8183430427899572,5,
36,semi_sync,0.6733,0.8905197590589523,0.09327328079903534,0.8333333333333316,124.71284402798904,2.928844027989026,0.8244223950290087,5,
37,semi_sync,0.6536,0.9604268729686737,0.0972105662207345,0.9523809523809501,87.1401919757215,3.564191975721506,0.8135596714085231,5,
38,semi_sync,0.6415,1.003835815191269,0.07020279975125582,0.9523809523809501,124.08818220566161,8.42818220566161,0.8267453894054569,5,
39,semi_sync,0.6918,0.8814277350902557,0.04159964298474711,0.9523809523809501,124.7408221413043,8.31682214130432,0.8258694081938618,5,
40,semi_sync,0.6146,1.078157788515091,0.021401041009895663,0.8695652173913024,97.41415766528489,3.594157665284886,0.8153443145384982,5,
41,semi_sync,0.6272,1.1371340870857238,0.8206457952538013,0.8333333333333316,127.5528360835056,5.768836083505596,0.8262864768130825,5,
42,semi_sync,0.4116,2.8927760243415834,0.8421617435643745,0.9523809523809501,91.33423022971766,7.758230229717659,0.8142746125277943,5,
43,semi_sync,0.5388,1.4642170786857605,0.6930523681709386,0.9523809523809501,411.6630133809135,296.0030133809135,0.8271139789353357,5,
44,semi_sync,0.5009,1.6918072998523712,0.6755534854128294,0.9523809523809501,132.8277366551327,16.403736655132683,0.911582506358686,5,
45,bridge,0.6418,1.0401672929525376,0.7134876720638511,0.8695652173913024,150.6384344913426,56.81843449134261,0.9072812237757546,5,
46,bridge,0.7341,0.7607450783252716,0.8660620754226921,0.8333333333333316,132.39795192762398,10.61395192762398,0.9044772800575372,5,
47,bridge,0.7136,0.9100897014141083,0.8175384711412992,0.9523809523809501,91.17925057360969,7.603250573609701,0.8994897392337141,5,
48,async,0.7215,0.7874511778354645,0.6970604997510967,0.9523809523809501,121.19581675155234,5.535816751552326,0.8317018577098764,5,
49,async,0.7558,0.7027786552906037,0.6572090852022254,0.909090909090907,178.43625383523909,71.10425383523908,0.8355627315774447,5,
50,async,0.7266,0.7456405162811279,0.607579240567965,0.8695652173913024,97.32039550158053,3.50039550158053,0.8533904232345251,5,
51,async,0.7266,0.7456405162811279,0.867463363286624,0.8695652173913024,125.02277351927718,3.2387735192771663,0.8632195794940016,5,
52,async,0.6839,1.0077915638685226,0.792446573327662,0.9523809523809501,99.3092134039322,6.641213403932199,0.8537362143654899,5,
53,async,0.6839,1.0077915638685226,0.7054819508863714,0.909090909090907,168.41574393134718,52.75574393134717,0.8598691057698984,5,
54,async,0.7073,0.8370246946811676,0.7007108545421161,0.9523809523809501,193.92197279608894,86.58997279608894,0.8545064389716712,5,
55,async,0.7005,0.8617077320814133,0.5982967629688428,0.8695652173913024,88.1213720166564,3.393372016656394,0.8487356292864412,5,
56,async,0.7005,0.8617077320814133,0.8785760707436718,0.8333333333333316,129.43588588619784,7.651885886197847,0.858250126527407,5,
57,async,0.6819,0.9333032101392746,0.8294575025119416,0.9523809523809501,101.39596319661183,8.727963196611832,0.8504823960201622,5,
58,async,0.7503,0.7336181342601776,0.6461679063394918,0.9523809523809501,123.8446263028003,8.184626302800298,0.8677624854727399,5,
59,async,0.7546,0.6749798625707626,0.6511192141295682,0.909090909090907,126.7560328388293,10.332032838829313,0.8289508955068374,5,
60,async,0.7013,0.8503991603851319,0.6624897743511167,0.8695652173913024,107.74118553543332,23.013185535433312,0.814026649206186,5,
