tag,strategy,wireless_model,simulated_mode,alpha,algorithm,seed,fedprox_mu,csv_path,final_accuracy,final_loss,total_energy,total_upload_time,mean_jain,min_jain,rounds
hybrid_wsn_invTrue,hybrid_opt,wsn,,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/hybrid_wsn_invTrue/hybrid_wsn_invTrue_attempt1_fedprox_20260306_014541.csv,0.7599,0.6967208743095398,7994.463151889663,1795.7231518896635,0.8994842838321077,0.49999999999999,60
bandwidth_first_wsn_invTrue,bandwidth_first,wsn,,0.5,fedavg,42,0.0,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/bandwidth_first_wsn_invTrue/bandwidth_first_wsn_invTrue_attempt1_fedavg_20260306_015525.csv,0.4687,2.065304756164551,8374.529854278439,2438.3098542784387,0.85493545705502,0.49999999999999,60
energy_first_wsn_invTrue,energy_first,wsn,,0.5,fedavg,42,0.0,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/energy_first_wsn_invTrue/energy_first_wsn_invTrue_attempt1_fedavg_20260306_020514.csv,0.697,0.9894799411296844,8693.352922177377,2888.4729221773773,0.8983333333333311,0.49999999999999,60
hybrid_jitter_invFalse,hybrid_opt,simulated,jitter,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/hybrid_jitter_invFalse/hybrid_jitter_invFalse_attempt1_fedprox_20260306_021438.csv,0.7013,0.8503991603851319,7095.873212158749,888.7972121587501,0.9021554049814894,0.49999999999999,60
hybrid_jitter_invTrue,hybrid_opt,simulated,jitter,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/hybrid_jitter_invTrue/hybrid_jitter_invTrue_attempt1_fedprox_20260306_022425.csv,0.7645,0.6698249489068985,7260.118740048307,1274.4707400483053,0.8990736558127838,0.49999999999999,60
sync_jitter_invTrue,sync,simulated,jitter,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/sync_jitter_invTrue/sync_jitter_invTrue_attempt1_fedprox_20260306_023344.csv,0.5944,1.3159652352333069,7285.623882631508,1086.3598826315078,0.9027031181378983,0.49999999999999,60
async_jitter_invTrue,async,simulated,jitter,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/async_jitter_invTrue/async_jitter_invTrue_attempt1_fedprox_20260306_024439.csv,0.7545,0.7847783625125885,7738.088656746065,1328.7446567460645,0.8944030365769472,0.49999999999999,60
bridge_free_jitter_invTrue,bridge_free,simulated,jitter,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/bridge_free_jitter_invTrue/bridge_free_jitter_invTrue_attempt1_fedprox_20260306_025424.csv,0.7292,0.7628293335437775,6901.502314993453,695.4783149934531,0.8952412321977515,0.49999999999999,60
bandwidth_first_jitter_invTrue,bandwidth_first,simulated,jitter,0.5,fedavg,42,0.0,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/bandwidth_first_jitter_invTrue/bandwidth_first_jitter_invTrue_attempt1_fedavg_20260306_030412.csv,0.7314,0.7837694674730301,6155.143145173952,389.4471451739512,0.8572952215688143,0.49999999999999,60
energy_first_jitter_invTrue,energy_first,simulated,jitter,0.5,fedavg,42,0.0,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/energy_first_jitter_invTrue/energy_first_jitter_invTrue_attempt1_fedavg_20260306_031357.csv,0.7335,0.7784811198711395,7212.00217832086,1407.1221783208591,0.8983333333333311,0.49999999999999,60
hybrid_wsn_invFalse,hybrid_opt,wsn,,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/hybrid_wsn_invFalse/hybrid_wsn_invFalse_attempt1_fedprox_20260306_032307.csv,0.6807,1.132079142332077,8686.44326587148,2296.591265871478,0.9045335340987489,0.49999999999999,60
