strategy,alpha,algorithm,final_accuracy_mean,final_accuracy_std,final_loss_mean,final_loss_std,total_energy_mean,total_energy_std,total_upload_time_mean,total_upload_time_std,mean_jain_mean,mean_jain_std
async,0.5,fedprox,0.7545,,0.7847783625125885,,7738.088656746065,,1328.7446567460645,,0.8944030365769472,
bandwidth_first,0.5,fedavg,0.60005,0.18575695141770612,1.4245371118187904,0.9061822929636342,7264.836499726195,1569.343392083078,1413.878499726195,1448.7647153280238,0.8561153393119172,0.0016686054897073056
bridge_free,0.5,fedprox,0.7292,,0.7628293335437775,,6901.502314993453,,695.4783149934531,,0.8952412321977515,
energy_first,0.5,fedavg,0.7152499999999999,0.025809397513309087,0.883980530500412,0.14919869733428537,7952.677550249118,1047.473156296679,2147.797550249118,1047.4731562966804,0.8983333333333311,0.0
hybrid_opt,0.5,fedprox,0.7266,0.0420007936432952,0.8372560314834118,0.21203514358272446,7759.22459249205,731.2576731961324,1563.8955924920492,613.7620427673676,0.9013117196812824,0.002545606979923688
sync,0.5,fedprox,0.5944,,1.3159652352333069,,7285.623882631508,,1086.3598826315078,,0.9027031181378983,
