tag,exit_code,metrics_csv,round,accuracy,loss,energy_sum,upload_time_sum,mean_jain,profile
p1_async_sensitive_relaxed_inv_short,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260305_233429.csv,20,0.5548,1.2636873602867127,2270.745827545194,283.6018275451937,0.8899369471108572,p1_async_sensitive_relaxed_inv
p2_balanced_bridge_short,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260305_233756.csv,20,0.5048,1.4178379833698274,2525.1326231562716,542.7926231562718,0.8815989083380359,p2_balanced_bridge
p3_stability_fairness_short,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260305_234131.csv,20,0.3969,1.735424965620041,2766.2480773083375,761.7680773083373,0.8915038584603773,p3_stability_fairness
p1_async_sensitive_relaxed_inv_final,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260305_234458.csv,40,0.6295,1.0605255365371704,4631.429106845117,589.5091068451172,0.9013090532655724,p1_async_sensitive_relaxed_inv
